Color1,Color2,Color3,Color4
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
#FF6B6B,#4ECDC4,#FFE66D,#1A535C
#778873,#A1BC98,#D2DCB6,#F1F3E0
#E3E3E3,#456882,#234C6A,#1B3C53
#F3E8DF,#E8D1C5,#57595B,#452829
#F5AFAF,#F9DFDF,#FBEFEF,#FCF8F8
