ff0000,950101,3d0000,000000
ffde7d,f6416c,f8f3d4,00b8a9
93b1a6,5c8374,183d3d,040d12
eaeaea,ff2e63,252a34,08d9d6
2c74b3,205295,144272,0a2647
fbfada,adbc9f,436850,12372a
ddf2fd,9bbec8,427d9d,164863
b1d0e0,6998ab,406882,1a374d
bbe1fa,3282b8,0f4c75,1b262c
d7fbe8,9df3c4,62d2a2,1fab89
14ffec,0d7377,323232,212121
eeeeee,00adb5,393e46,222831
eeeeee,ffd369,393e46,222831
dde6ed,9db2bf,526d82,27374d
53354a,903749,e84545,2b2e4a
e7f6f2,a5c9ca,395b64,2c3333
dcd7c9,a27b5c,3f4e4f,2c3639
ffd460,f07b3f,ea5455,2d4059
fc5185,f5f5f5,3fc1c9,364f6b
eae7b1,a6bb8d,61876e,3c6255
abedd8,46cdcf,3d84a8,48466d
b99470,fefae0,a9b388,5f6f52
d0c9c0,efead8,6d8b74,5f7161
eee9da,bdcdd6,93bfcf,6096b4
fcdec0,e5b299,b4846c,7d5a50
ffead2,dbdfea,acb1d6,8294c4
f5ebeb,e4d0d0,d5b4b4,867070
f1dec9,c8b6a6,a4907c,8d7b68
e5e1da,fbf9f1,aad7d9,92c7cf
ffe3e3,e4d8dc,c9ccd5,93b5c6
f1f0e8,eee0c9,adc4ce,96b6c5
967e76,d7c0ae,eee3cb,9babb8
e3cdc1,f6e6cb,e7d4b5,a0937d
ffc3a1,f0997d,d3756b,a75d5d
ffc3a1,f0997d,d3756b,a75d5d
ffffd2,fcbad3,aa96da,a8d8ea
675d50,abc4aa,f3deba,a9907e
fffbe9,e3caa5,ceab93,ad8b73
eef1ff,d2daff,aac4ff,b1b2ff
e5ddc5,f1eedc,bed7dc,b3c8cf
f2efe5,e3e1d9,c7c8cc,b4b4b8
eed3d9,f5e8dd,ccd3ca,b5c0d0
f38ba0,ffbcbc,edf6e5,b5eaea
967e76,d7c0ae,eee3cb,b7c4cf
99ddcc,f6f6f6,ffe2e2,bad7df
f1f1f6,e1ccec,c9b6e4,be9fe1
f8f6f4,e3f4f4,d2e9e9,c4dfdf
faedcd,fefae0,e9edc9,ccd5ae
0f1035,365486,7fc7d9,dcf2f1
f05454,30475e,222831,dddddd
8ec3b0,9ed5c5,bcead5,def5e5
cca8e9,c3bef0,cadefc,defcf9
99bc85,bfd8af,d4e7c5,e1f0da
311d3f,522546,88304e,e23e57
311d3f,522546,88304e,e23e57
71c9ce,a6e3e9,cbf1f5,e3fdfd
40514e,11999e,30e3ca,e4f9f5
285430,5f8d4e,a4be7b,e5d9b6
eae0da,f7f5eb,a0c3d2,eac7c7
40513b,609966,9dc08b,edf1d6
1b1717,630000,810000,eeebdd
4b6587,c8c6c6,f7f6f2,f0e5cf
576f72,7d9d9c,e4dccf,f0ebe3
596e79,c7b198,dfd3c3,f0ece3
1e2022,52616b,c9d6df,f0f5f9
9ba4b4,394867,14274e,f1f6f9
9ba4b5,212a3e,394867,f1f6f9
748da6,9cb4cc,d3cedf,f2d7d9
95e1d3,eaffd0,fce38a,f38181
776b5d,b0a695,ebe3d5,f3eeea
424874,a6b1e1,dcd6f7,f4eeff
424874,a6b1e1,dcd6f7,f4eeff
495464,bbbfca,e8e8e8,f4f4f2
e6a4b4,f3d7ca,fff8e3,f5eee6
7895b2,aebdca,e8dfca,f5efe6
213555,4f709c,d8c4b6,f5efe7
45474b,495e57,f4ce14,f5f7f8
355c7d,6c5b7b,c06c84,f67280
146c94,19a7ce,afd3e2,f6f1f1
4682a9,749bc2,91c8e4,f6f4eb
ffefef,f3d0d7,f0ebe3,f6f5f2
276678,1687a7,d3e0ea,f6f5f5
aaaaaa,ffc7c7,ffe2e2,f6f6f6
769fcd,b9d7ea,d6e6f2,f7fbfc
798777,a2b29f,bdd2b6,f8ede3
7d6e83,d0b8a8,dfd3c3,f8ede3
85586f,d0b8a8,dfd3c3,f8ede3
6a2c70,b83b5e,f08a5d,f9ed69
f2bed1,fdcedf,f8e8ee,f9f5f6
112d4e,3f72af,dbe2ef,f9f7f7
435334,9eb384,cedebd,faf1e4
1e212d,b68973,eabf9f,faf3e0
c58940,e5ba73,faeab1,faf8f1
aee1e1,d3e0dc,ece2e1,fcd1d1
f5c6aa,f8e2cf,fdf6f0,fcd8d4
df7861,ecb390,d4e2d4,fcf8e8
cdbba7,dad0c2,f4dfd0,fdefef
99a799,adc2a9,d3e4cd,fef5ed
dba39a,f0dbdb,f5ebe0,fefcf3
52734d,91c788,ddffbc,feffde
ffe8e8,ffdcdc,ffb4b4,ff9292
61c0bf,bbded6,fae3d9,ffb6b9
ff8dc7,ffacc7,ffddd2,ffb9b9
8785a2,f6f6f6,ffe2e2,ffc7c7
a5dee5,e0f9b5,fefdca,ffcfdf
aacb73,cde990,ffffe8,ffd4d4
8675a9,c3aed6,efbbcf,ffd5cd
c6dce4,daeaf1,f2d1d1,ffe6e6
bf9270,e3b7a0,edcdbb,ffeddb
febbcc,ffcccc,ffddcc,ffeecc
850e35,ee6983,ffc4c4,fff5e4
ff9494,ffd1d1,ffe3e1,fff5e4
b2b8a3,f4c7ab,deedf0,fff5eb
594545,815b5b,9e7676,fff8ea
